years,pack,module,submodule,file,name,desc
2017,CNPJE,Estructura organizacional y recursos,Servicios periciales y/o servicio médico forense,pe_regis,"Personal adscrito a la institución o unidad administrativa, según su sexo y cargo","Personal adscrito a la institución o unidad administrativa encargada de la función de Servicios Periciales y/o Servicio Médico Forense de la Procuraduría General de Justicia o Fiscalía General, según su sexo y cargo y/o función, al cierre del año 2016.)"
2017,CNPJE,Procuración de justicia,Ingresos o aperturas durante el año,aver_ini,Investigaciones Iniciadas,"Averiguaciones previas iniciadas y/o carpetas de investigación abiertas por el Ministerio Público del Fuero Común, durante 2016."
2017,CNPJE,Procuración de justicia,Ingresos o aperturas durante el año,deli_eje,Presuntos delitos registrados en las investigaciones iniciadas,"Presuntos delitos seleccionados registrados en las averiguaciones previas iniciadas y/o carpetas de investigación abiertas por el Ministerio Público del Fuero Común, según tipo de delito y forma de registro, durante el año 2016."
2017,CNPJE,Procuración de justicia,Víctimas registradas en los ingresos o aperturas durante el año,vict_reg,Víctimas registradas en las investigaciones iniciadas,"Víctimas registradas en las averiguaciones previas iniciadas y/o carpetas de investigación abiertas por el Ministerio Público del Fuero Común, según tipo de víctima, durante el año 2016.)"
2017,CNPJE,Procuración de justicia,Víctimas registradas en los ingresos o aperturas durante el año,vict_eda,Edad y sexo de las víctimas registradas en las investigaciones iniciadas,"Víctimas registradas en las averiguaciones previas iniciadas y/o carpetas de investigación abiertas por el Ministerio Público del Fuero Común, según el rango de edad y sexo, durante el año 2016"
2017,CNPJE,Procuración de justicia,Inculpados o imputados registrados en los ingresos o aperturas durante el año,incu_reg,Inculpados y/o imputados registrados en las investigaciones iniciadas,"Inculpados y/o imputados registrados en las averiguaciones previas iniciadas y/o carpetas de investigación abiertas por el Ministerio Público del Fuero Común, según su sexo, durante el año 2016."
2017,CNPJE,Procuración de justicia,Inculpados o imputados registrados en los ingresos o aperturas durante el año,incu_eda,Edad y sexo de los inculpados y/o imputados registrados en las investigaciones iniciadas,"Inculpados y/o imputados identificados (hombres y mujeres) registrados en las averiguaciones previas iniciadas y/o carpetas de investigación abiertas por el Ministerio Público del Fuero Común, según el rango de edad y sexo, durante el año 2016"
2017,CNPJE,Procuración de justicia,Conclusiones durante el año,avcarpin,Investigaciones determinadas,"Averiguaciones previas y/o carpetas de investigación determinadas por el Ministerio Público del Fuero Común, durante el año 2016"
2017,CNPJE,Procuración de justicia,Conclusiones durante el año,avdeterm,Averiguaciones previas determinadas por tipo de determinación,"Averiguaciones previas determinadas por el Ministerio Público del Fuero Común, según su tipo de determinación, durante el año 2016"
2017,CNPJE,Procuración de justicia,Conclusiones durante el año,carpdete,Carpetas de investigación determinadas por tipo de determinación,"Carpetas de investigación determinadas por el Ministerio Público del Fuero Común, según su tipo de determinación, durante el año 2016"
2017,CNPJE,Procuración de justicia,Conclusiones durante el año,cat_aver,Investigaciones reactivadas que se determinaron por reserva o archivo temporal,"Averiguaciones previas determinadas con reserva y carpetas de investigación determinadas con archivo temporal por el Ministerio Público del Fuero Común que se reactivaron para continuar con el cauce del procedimiento, durante el año 2016."
2017,CNPJE,Procuración de justicia,Conclusiones durante el año,deli_car,Delitos seleccionados registrados en las investigaciones determinadas,"Delitos seleccionados registrados en las averiguaciones previas y/o carpetas de investigación determinadas por el Ministerio Público del Fuero Común, según tipo de delito y forma de registro, durante el año 2016."
2017,CNPJE,Procuración de justicia,Cierres durante el año,inve_cie,Carpetas de investigación cerradas por el Ministerio Público según tipo de cierre,"Carpetas de investigación cerradas por el Ministerio Público del Fuero Común, según el tipo de cierre, durante el año 2016"
2017,CNPJE,Procuración de justicia,Cierres durante el año,acue_rep,Acuerdos reparatorios contenidos en las carpetas de investigación cerradas,"Acuerdos reparatorios contenidos en las carpetas de investigación cerradas con acuerdo reparatorio por el Ministerio Público del Fuero Común, según su tipo, durante el año 2016"
2017,CNPJE,Procuración de justicia,Cierres durante el año,acue_otr,Acuerdos reparatorios de otro tipo contenidos en las carpetas de investigación cerradas,"Acuerdos reparatorios de otro tipo contenidos en las carpetas de investigación cerradas con acuerdo reparatorio por el Ministerio Público del Fuero Común, según su tipo, durante el año 2016"
2017,CNPJE,Procuración de justicia,Cierres durante el año,reg_ejec,Delitos seleccionados registrados en las caretas de investigación cerradas,"Delitos seleccionados registrados en las carpetas de investigación cerradas por el Ministerio Público del Fuero Común, según tipo de delito y forma de registro, durante el año 2016."
2017,CNPJE,Procuración de justicia,Existencias al cierre del año,aver_pre,Investigaciones pendientes de concluir,"Averiguaciones previas y/o carpetas de investigación pendientes de concluir por el Ministerio Público del Fuero Común, al cierre del año 2016"
2017,CNPJE,Procuración de justicia,Existencias al cierre del año,aver_pen,Averiguaciones previas pendientes según su estatus,"Averiguaciones previas pendientes de concluir por el Ministerio Público del Fuero Común, según su estatus, al cierre del año 2016"
2017,CNPJE,Procuración de justicia,Existencias al cierre del año,inv_pend,Carpeta de investigación pendientes según su estatus,"Carpetas de investigación pendientes de concluir por el Ministerio Público del Fuero Común, según su estatus, al cierre del año 2016"
2017,CNPJE,Procuración de justicia,Existencias al cierre del año,deli_pen,Presuntos delitos registrados en las investigaciones pendientes de concluir,"Presuntos delitos registrados en las averiguaciones previas y/o carpetas de investigación pendientes de concluir por el Ministerio Público del Fuero Común, según forma de registro, al cierre del año 2016"
2017,CNPJE,Procuración de justicia,Existencias al cierre del año,delitcon,Presuntos delitos seleccionados registrados en las carpetas de investigación pendientes de concluir,"Presuntos delitos seleccionados registrados en averiguaciones previas y carpetas de investigación pendientes de concluir por el Ministerio Público del Fuero Común, según tipo de delito y forma de registro, al cierre del año 2016"
2017,CNPJE,Procuración de justicia,Medidas cautelares,mecautel,"Medidas cautelares solicitadas por los el Ministerio Público, según su resolución","Medidas cautelares solicitadas por los agentes/fiscales del Ministerio Público estatal, según su resolución ante el Juez de Control o Garantías, durante el año 2016"
2017,CNPJE,Procuración de justicia,Medidas cautelares,medtipos,"Medidas cautelares procedentes solicitadas por el Ministerio Público, segúns u tipo","Medidas cautelares procedentes solicitadas por los agentes/fiscales del Ministerio Público estatal, según su tipo, durante el año 2016"
2017,CNPJE,Procuración de justicia,Medidas cautelares,impucaut,Imputados a los que se les impuso medidas cautelares procedentes,"Imputados a los que se les impuso medidas cautelares procedentes solicitadas por los agentes/fiscales del Ministerio Público estatal, según su sexo, durante el año 2016"
2017,CNPJE,Procuración de justicia,Solicitudes recibidas durante el año,solicitu,Solicitudes de atención recibidas en los centros de Justicia Alternativa,"Solicitudes de atención a través de medios alternativos de solución de conflictos recibidas en los órganos o centros o unidades especializadas en la solución de conflictos bajo el sistema de Justicia Alternativa y/o Mecanismos Alternativos de Solución de Controversias, según el tipo de materia, tipo de solicitante y estatus, durante el año 2016."
2017,CNPJE,Procuración de justicia,Solicitudes recibidas durante el año,exp_abie,Expedientes abiertos por los centros de Justicia Alternativa,"Expedientes abiertos por los órganos, centros o unidades especializadas en el Sistema de Justicia Alternativa y/o Mecanismos Alternativos de Solución de Controversias, según el tipo de materia, durante el año 2016"
2017,CNPJE,Justicia alternativa,Asuntos concluidos durante el año y seguimiento al cumplimiento de acuerdos,asun_con,Asuntos concluidos bajo Justicia Alternativa según tipo de conclusión y materia,"Asuntos concluidos bajo el sistema de Justicia Alternativa y/o Mecanismos Alternativos de Solución de Controversias, según el tipo de conclusión y materia, durante el año 2016"
2017,CNPJE,Justicia alternativa,Asuntos concluidos durante el año y seguimiento al cumplimiento de acuerdos,acu_alca,"Acuerdos alcanzados en los asuntos solucionados a través de Junta Restaurativa, según tipo de materia y tipo de reparación","Acuerdos alcanzados en los asuntos solucionados a través de Junta Restaurativa, según el tipo de materia y tipo de reparación acordada, durante el año 2016"
2017,CNPJE,Justicia alternativa,Asuntos concluidos durante el año y seguimiento al cumplimiento de acuerdos,asun_pro,"Asuntos solucionados en proceso de seguimiento, según medio de solución y materia","Asuntos solucionados en proceso de seguimiento al cumplimiento de los acuerdos, por parte del área y/o personal respectivo, según el medio de solución y materia, al cierre del año 2016"
2017,CNPJE,Justicia alternativa,Asuntos en trámite y/o integración al cierre del año,asun_tra,"Asuntos en trámite y/o consignación en las unidades de Justicia Alternativa, según materia y etapa","Asuntos en trámite y/o integración en los órganos, centros o unidades especializadas en el Sistema de Justicia Alternativa y/o Mecanismos Alternativos de Solución de Controversias, según materia y etapa, al cierre del año 2016"
2017,CNPJE,Justicia para adolescentes,Ingresos o aperturas durante el año,averprev,Investigaciones iniciadas por el Ministerio Público Especializado en Adolescentes,"Averiguaciones previas iniciadas y/o investigaciones abiertas por el Ministerio Público Especializado en Adolescentes, durante el año 2016"
2017,CNPJE,Justicia para adolescentes,Ingresos o aperturas durante el año,coancara,Conductas antisociales del fuero común registradas en las investigaciones iniciadas por el Ministerio Público Especializado en Adolescentes,"Conductas antisociales del fuero común seleccionadas registradas en las averiguaciones previas iniciadas y/o investigaciones abiertas por el Ministerio Público Especializado en Adolescentes, según tipo de conducta y forma de registro, durante el año 2016"
2017,CNPJE,Justicia para adolescentes,Adolescentes inculpados registrados en los ingresos o aperturas durante el año,adoledad,"Adolescentes inculpados registrados en las investigaciones iniciadas por el Ministerio Público Especializado en Adolescentes, según edad y sexo","Adolescentes inculpados identificados (hombres y mujeres) registrados en las averiguaciones previas iniciadas y/o investigaciones abiertas por el Ministerio Público Especializado en Adolescentes, según edad y sexo, durante el año 2016."
2017,CNPJE,Justicia para adolescentes,Adolescentes inculpados registrados en los ingresos o aperturas durante el año,adolesco,"Adolescentes inculpados registrados en las investigaciones iniciadas por el Ministerio Público Especializado en Adolescentes, según grado de estudios y sexo","Adolescentes inculpados identificados (hombres y mujeres) registrados en las averiguaciones previas iniciadas y/o investigaciones abiertas por el Ministerio Público Especializado en Adolescentes, según grado de estudios concluido y sexo, durante el año 2016"
2017,CNPJE,Justicia para adolescentes,Conclusiones durante el año,deteaver,"Investigaciones determinadas por el Ministerio Público Especializado en Adolescentes, según tipo de determinación","Averiguaciones previas y/o investigaciones determinadas por el Ministerio Público Especializado en Adolescentes, según tipo de determinación, durante el año 2016"
2017,CNPJE,Justicia para adolescentes,Conclusiones durante el año,registfc,"Conductas antisociales del fuero común registradas en las investigaciones determinadas por el Ministerio Público Especializado en Adolescentes, según tipo de conducta y forma de registro","Conductas antisociales del fuero común seleccionadas registradas en las averiguaciones previas y/o investigaciones determinadas por el Ministerio Público Especializado en Adolescentes, según tipo de conducta y forma de registro, durante el año 2016."
2017,CNPJE,Justicia para adolescentes,Cierres durante el año,cacerrad,"Investigaciones cerradas por el Ministerio Público Especializado en Adolescentes, según tipo de cierre","Investigaciones cerradas por el Ministerio Público Especializado en Adolescentes, según tipo de cierre, durante el año 2016"
2017,CNPJE,Justicia para adolescentes,Cierres durante el año,cacerrfc,Conductas antisociales del fuero común registradas en las investigaciones cerradas por el Ministerio Público Especializado en Adolescentes,"Conductas antisociales del fuero común seleccionadas registradas en las investigaciones cerradas por el Ministerio Público Especializado en Adolescentes, según tipo de conducta y forma de registro, durante el año 2016"
2017,CNPJE,Justicia para adolescentes,Existencias al cierre del año,averipen,Investigaciones pendientes de concluir por el Ministerio Público Especializado en Adolescentes,"Averiguaciones previas y/o investigaciones pendientes de concluir por el Ministerio Público Especializado en Adolescentes, al cierre del año 2016"
2017,CNPJE,Justicia para adolescentes,Existencias al cierre del año,investso,"Investigaciones pendientes de concluir por el Ministerio Público Especializado en Adolescentes, según estatus","Investigaciones pendientes de concluir por el Ministerio Público Especializado en Adolescentes, según estatus, al cierre del año 2016"
2017,CNPJE,Justicia para adolescentes,Existencias al cierre del año,penconej,Conductas antisociales del fuero común registradas en las investigaciones pendientes de concluir por el Ministerio Público Especializado en Adolescentes,"Conductas antisociales fuero común seleccionadas registradas en las averiguaciones previas y/o investigaciones pendientes de concluir por el Ministerio Público Especializado en Adolescentes, según tipo de conductas y forma de registro, al cierre del año 2016."
2017,CNIJE,Estructura organizacional y recursos,Pleno del Tribunal Superior de Justicia,magistra,Magistrados que integraron el Pleno del Tribunal Superior de Justicia,"Magistrados que integraron el Pleno del Tribunal Superior de Justicia, al momento de la aplicación del censo (mayo - julio 2017)"
2017,CNIJE,Estructura organizacional y recursos,Consejo de la Judicatura,consjudi,Existencia de un Consejo de la Judicatura,"Existencia de un Consejo de la Judicatura en el Poder Judicial de la entidad, durante el año 2016."
2017,CNIJE,Estructura organizacional y recursos,Recursos humanos del Tribunal Superior de Justicia y del Consejo de la Judicatura,comifunc,Comisiones que integraron el Consejo de la Judicatura,"Comisiones que integraron el Consejo de la Judicatura, según tipo de función, al cierre del año 2016"
2017,CNIJE,Estructura organizacional y recursos,Defensoría pública o defensoría de oficio,persexo,Personal adscrito a los órganos jurisdiccionales del Tribunal,Personal adscrito a los órganos jurisdiccionales del Tribunal
2017,CNIJE,Estructura organizacional y recursos,Defensoría pública o defensoría de oficio,perdecar,Personal que tenía la institución según sexo y cargo,"Personal que tenía la institución o unidad administrativa encargada de la Defensoría Pública o Defensoría de Oficio del Poder Judicial, según su sexo y cargo, al cierre del año 2016"
2017,CNIJE,Estructura organizacional y recursos,Defensoría pública o defensoría de oficio,defasema,Defensores públicos y asesores jurídicos según la materia que atendían y sexo,"Defensores públicos y asesores jurídicos que tenía la institución o unidad administrativa encargada de la Defensoría Pública o Defensoría de Oficio del Poder Judicial, según la materia que atendían y sexo, al cierre del año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Ingresos durante el año,asun_ate,Asuntos atendidos en los órganos jurisdiccionales en materia penal,"Asuntos atendidos (carga de trabajo) en los órganos jurisdiccionales en materia penal, según tipo de asunto y tipo de sistema, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Ingresos durante el año,caupenco,"Causas penales y/o consignaciones ingresadas en los órganos jurisdiccionales de primera instancia, según tipo de consignación y tipo de competencia","Causas penales y/o consignaciones ingresadas en los órganos jurisdiccionales de primera instancia, según tipo de consignación y tipo de competencia, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Ingresos durante el año,caupenin,"Causas penales y/o consignaciones del fuero común ingresadas en los órganos jurisdiccionales de primera instancia, según tipo de consignación y órgano jurisdiccional","Causas penales y/o consignaciones del fuero común ingresadas en los órganos jurisdiccionales de primera instancia, según tipo de consignación y órgano jurisdiccional, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Ingresos durante el año,ingranio,Causas penales y/o consignaciones ingresadas a los Juzgados de Control o Garantías y que ingresaron a los Tribunales de Enjuiciamiento o Juzgados de Juicio Oral,"Causas penales y/o consignaciones ingresadas a los Juzgados de Control o Garantías y que ingresaron a los Tribunales de Enjuiciamiento o Juzgados de Juicio Oral, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Ingresos durante el año,caupenfc,"Delitos registrados en las causas penales ingresadas, según tipo de delito, sistema y forma de registro","Delitos registrados en las causas penales ingresadas en los órganos jurisdiccionales de primera instancia, según tipo de delito, sistema y forma de registro, durante el año 2016."
2017,CNIJE,Impartición de justicia en materia penal,Víctimas registradas en las causas penales ingresadas durante el año,vic_regi,Víctimas registradas en las causas penales ingresadas según sistema y tipo de víctima,"Víctimas registradas en las causas penales ingresadas en los órganos jurisdiccionales de primera instancia, según sistema y tipo de víctima, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Víctimas registradas en las causas penales ingresadas durante el año,vic_edad,"Víctimas personas físicas Registradas en las causas penales ingresadas en los órganos jurisdiccionales de primera instancia, según rango de edad, sistema y sexo","Víctimas personas físicas (hombres y mujeres) registradas en las causas penales ingresadas en los órganos jurisdiccionales de primera instancia, según rango de edad, sistema y sexo, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Procesados y/o imputados registrados en las causas penales ingresadas durante el año,proc_reg,Procesados y/o imputados registrados en las causas penales ingresadas según sistema y sexo,"Procesados y/o imputados registrados en las causas penales ingresadas en los órganos jurisdiccionales de primera instancia, según sistema y sexo, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Procesados y/o imputados registrados en las causas penales ingresadas durante el año,proc_eda,"Procesados y/o imputados identificados registrados en las causas penales ingresadas según rango de edad, sistema y sexo","Procesados y/o imputados identificados (hombres y mujeres) registrados en las causas penales ingresadas en los órganos jurisdiccionales de primera instancia, según rango de edad, sistema y sexo, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Procesados y/o imputados registrados en las causas penales ingresadas durante el año,proc_est,"Procesados y/o imputados registrados en las causas penales ingresadas según grado de estudios concluido, sistema y sexo","Procesados y/o imputados identificados (hombres y mujeres) registrados en las causas penales ingresadas en los órganos jurisdiccionales de primera instancia, según grado de estudios concluido, sistema y sexo, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Procesados y/o imputados registrados en las causas penales ingresadas durante el año,prdetsta,"Delitos cometidos por los procesados y/o imputados registrados en las causas penales ingresadas según tipo de delito, sistema y sexo","Delitos cometidos por los procesados y/o imputados registrados en las causas penales ingresadas en los órganos jurisdiccionales de primera instancia en el sistema tradicional y sistema penal acusatorio (juzgados de control o garantías), según tipo de delito, sistema y sexo, durante el año 2016."
2017,CNIJE,Impartición de justicia en materia penal,Conclusiones durante el año,caupecon,"Causas penales concluidas, según sistema","Causas penales concluidas en los órganos jurisdiccionales de primera instancia, según sistema, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Conclusiones durante el año,caupensa,"Procesados y/o imputados registrados en las causas penales concluidas en el sistema tradicional, según tipo de conclusión","Procesados y/o imputados registrados en las causas penales concluidas en los órganos jurisdiccionales de primera instancia en el sistema tradicional, según tipo de conclusión, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Conclusiones durante el año,caupenjc,"Procesados y/o imputados registrados en las causas penales concluidas en el sistema penal acusatorio, según tipo de conclusión","Procesados y/o imputados registrados en las causas penales concluidas en los juzgados de control o garantías (sistema penal acusatorio), según tipo de conclusión, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Conclusiones durante el año,caupenjo,"Procesados y/o imputados registrados en las causas penales concluidas en los juzgados de juicio oral, según tipo de conclusión","Procesados y/o imputados registrados en las causas penales concluidas en los tribunales de enjuiciamiento o juzgados de juicio oral (sistema penal acusatorio), según tipo de conclusión, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Conclusiones durante el año,delconcl,"Delitos registrados en las causas penales concluidas, según tipo de delito","Delitos registrados en las causas penales concluidas en los órganos jurisdiccionales de primera instancia, según tipo de delito, sistema y forma de registro, durante el año 2016."
2017,CNIJE,Impartición de justicia en materia penal,Sentenciados registrados en causas penales concluidas durante el año,senregsa,"Sentenciados registrados en las causas penales concluidas en el sistema tradicional, según tipo de sentencia y sexo","Sentenciados registrados en las causas penales concluidas en los órganos jurisdiccionales de primera instancia en el sistema tradicional, según tipo de sentencia y sexo, durante el año 2016."
2017,CNIJE,Impartición de justicia en materia penal,Sentenciados registrados en causas penales concluidas durante el año,senrespa,"Sentenciados registrados en las causas penales concluidas en los juzgados de control o garantías (sistema penal acusatorio), según tipo de sentencia y sexo","Sentenciados registrados en las causas penales concluidas en los juzgados de control o garantías (sistema penal acusatorio), según tipo de sentencia y sexo, durante el año 2016."
2017,CNIJE,Impartición de justicia en materia penal,Sentenciados registrados en causas penales concluidas durante el año,senregjo,"Sentenciados registrados en las causas penales concluidas en los juzgados de juicio oral, según tipo de sentencia y sexo","Sentenciados registrados en las causas penales concluidas en los tribunales de enjuiciamiento o juzgados de juicio oral (sistema penal acusatorio), según tipo de sentencia y sexo, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Existencias al cierre del año,caupentr,Causas penales en trámite según sistema,"Causas penales en trámite en los órganos jurisdiccionales de primera instancia, según sistema, al cierre del año 2016."
2017,CNIJE,Impartición de justicia en materia penal,Existencias al cierre del año,caupetra,"Procesados y/o imputados registrados en las causas penales en trámite, según sistema","Procesados y/o imputados registrados en las causas penales en trámite en los órganos jurisdiccionales de primera instancia, según sistema, al cierre del año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Existencias al cierre del año,delpentr,Delitos registrados en las causas penales en trámite,"Delitos registrados en las causas penales en trámite en los órganos jurisdiccionales de primera instancia, según tipo de delito, sistema y forma de registro, al cierre del año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Medidas cautelares y suspensión condicional del proceso,can_caut,Medidas cautelares solicitadas según el solicitante y el tipo de medida cautelar,"Medidas cautelares solicitadas al juez de control o garantías, según el solicitante y el tipo de medida cautelar"
2017,CNIJE,Impartición de justicia en materia penal,Medidas cautelares y suspensión condicional del proceso,cantcaut,"Medidas cautelares solicitadas, según tipo de medida y resolución emitida","Medidas cautelares solicitadas al juez de control o garantías, según tipo de medida y resolución emitida, durante el año 2016"
2017,CNIJE,Impartición de justicia en materia penal,Medidas cautelares y suspensión condicional del proceso,cau_proc,"Medidas cautelares procedentes, según el rango de temporalidad y tipo de medida","Medidas cautelares procedentes, según el rango de temporalidad por el cual fue concedida y tipo de medida por el cual fue concedida y tipo de medida"
2017,CNIJE,Impartición de justicia en materia penal,Medidas cautelares y suspensión condicional del proceso,cancaute,Medidas cautelares impuestas según tipo de medida y sexo,"Medidas cautelares impuestas a los procesados y/o imputados, según tipo de medida y sexo, durante el año 2016"
2017,CNIJE,Justicia alternativa,Solicitudes recibidas durante el año,solrecib,Solicitudes de atención a través de medios alternativos de solución de conflictos recibidas en los órganos o centros o unidades especializadas en la solución de conflicto,"Solicitudes de atención a través de medios alternativos de solución de conflictos recibidas en los órganos o centros o unidades especializadas en la solución de conflictos bajo el sistema de Justicia Alternativa y/o Mecanismos Alternativos de Solución de Controversias, según el tipo de materia, tipo de solicitante y estatus, durante el año 2016.)"
2017,CNIJE,Justicia alternativa,Solicitudes recibidas durante el año,soltotab,"Expedientes abiertos por los órganos, centros o unidades especializadas en el Sistema de Justicia Alternativa, según el tipo de materia","Expedientes abiertos por los órganos, centros o unidades especializadas en el Sistema de Justicia Alternativa y/o Mecanismos Alternativos de Solución de Controversias, según el tipo de materia, durante el año 2016"
2017,CNIJE,Justicia alternativa,Asuntos concluidos durante el año y seguimiento al cumplimiento de acuerdos,asunconc,"Asuntos concluidos bajo el sistema de Justicia Alternativa, según su tipo de materia y tipo de conclusión","Asuntos concluidos bajo el sistema de Justicia Alternativa y/o Mecanismos Alternativos de Solución de Controversias, según su tipo de materia y tipo de conclusión, durante el año 2016"
2017,CNIJE,Justicia alternativa,Asuntos concluidos durante el año y seguimiento al cumplimiento de acuerdos,todecaas,"Delitos y conductas antisociales registrados en los asuntos solucionados, en materia penal, justicia para adolescentes y mixta, en los órganos, centros o unidades especializadas en el Sistema de Justicia Alternativa, según su tipo","Delitos y conductas antisociales registrados en los asuntos solucionados, en materia penal, justicia para adolescentes y mixta, en los órganos, centros o unidades especializadas en el Sistema de Justicia Alternativa y/o Mecanismos Alternativos de Solución de Controversias, según su tipo, durante el año 2016."
2017,CNIJE,Justicia alternativa,Expedientes en trámite y/o integración al cierre del año,asuntram,"Asuntos que se encontraban en trámite, según su tipo de materia y etapa","Asuntos que se encontraban en trámite y/o integración en los órganos, centros o unidades especializadas en el Sistema de Justicia Alternativa y/o Mecanismos Alternativos de Solución de Controversias, según su tipo de materia y etapa"
2017,CNIJE,Justicia alternativa,Expedientes en trámite y/o integración al cierre del año,delcontr,"Delitos y conductas antisociales registrados en los asuntos en trámite y/o integración, en materia penal, justicia para adolescentes y mixta","Delitos y conductas antisociales registrados en los asuntos en trámite y/o integración, en materia penal, justicia para adolescentes y mixta, en los órganos, centros o unidades especializadas en el Sistema de Justicia Alternativa y/o Mecanismos Alternativos de Solución de Controversias, según su tipo, al cierre del año 2016"
2017,CNIJE,Justicia para adolescentes,Ingresos durante el año,asu_abie,"Asuntos abiertos por los juzgados especializados en adolescentes, según el tipo de sistema","Asuntos abiertos por los juzgados especializados en adolescentes, según el tipo de sistema, durante el año 2016."
2017,CNIJE,Justicia para adolescentes,Ingresos durante el año,condregi,"Conductas antisociales registradas en los asuntos abiertos por los juzgados especializados en adolescentes, según el tipo de sistema y forma de registro","Conductas antisociales registradas en los asuntos abiertos por los juzgados especializados en adolescentes, según el tipo de sistema y forma de registro, durante el año 2016"
2017,CNIJE,Justicia para adolescentes,Conclusiones durante el año,asun_con,"Asuntos concluidos por los juzgados especializados en adolescentes, según tipo de sistema","Asuntos concluidos por los juzgados especializados en adolescentes, según tipo de sistema, durante el año 2016."
2017,CNIJE,Justicia para adolescentes,Conclusiones durante el año,asuticon,"Asuntos concluidos por los juzgados especializados en adolescentes, según tipo de conclusión y sistema","Asuntos concluidos por los juzgados especializados en adolescentes, según tipo de conclusión y sistema"
2017,CNIJE,Justicia para adolescentes,Existencias al cierre del año,tottrami,"Asuntos en trámite en los juzgados especializados en adolescentes, según el tipo de sistema","Asuntos en trámite en los juzgados especializados en adolescentes, según el tipo de sistema, al cierre del año 2016"
2017,CNIJE,Justicia para adolescentes,Existencias al cierre del año,asutraso,"Asuntos en trámite en los juzgados especializados en adolescentes en el sistema oral, según etapa","Asuntos en trámite en los juzgados especializados en adolescentes en el sistema oral, según etapa, al cierre del año 2016"
